0.70,nan,1.00,nan,0.86,nan,0.80,nan
0.58,nan,1.00,nan,0.72,nan,0.62,nan
0.62,nan,1.00,nan,0.69,nan,0.61,nan
0.85,nan,1.00,nan,0.78,nan,0.74,nan
0.88,0.56,1.00,0.56,0.81,0.47,0.71,0.59
0.83,0.38,1.00,0.39,0.79,0.38,0.71,0.28
0.78,0.42,1.00,0.43,0.81,0.36,0.72,0.34
0.75,0.39,1.00,0.41,0.80,0.33,0.70,0.28
0.58,0.44,1.00,0.43,0.60,0.31,0.69,0.31
0.55,0.64,1.00,0.63,0.54,0.43,0.69,0.32
0.53,nan,1.00,nan,0.66,nan,0.55,nan
0.62,nan,1.00,nan,0.68,nan,0.53,nan
0.68,nan,1.00,nan,0.64,nan,0.60,nan
0.71,nan,1.00,nan,0.61,nan,0.67,nan
0.67,nan,1.00,nan,0.80,nan,0.69,nan
0.55,nan,1.00,nan,0.74,nan,0.55,nan
0.66,nan,1.00,nan,0.72,nan,0.61,nan
0.81,0.66,1.00,0.63,0.74,0.59,0.64,0.64
0.77,0.45,1.00,0.38,0.70,0.36,0.65,0.45
0.82,0.41,1.00,0.43,0.73,0.40,0.71,0.43
0.76,0.38,1.00,0.35,0.74,0.27,0.75,0.33
0.72,0.41,1.00,0.35,0.76,0.28,0.72,0.31
0.55,0.50,1.00,0.47,0.53,0.29,0.69,0.39
0.52,0.50,1.00,0.46,0.48,0.30,0.71,0.24
0.61,0.64,1.00,0.62,0.65,0.46,0.64,0.39
0.70,nan,1.00,nan,0.63,nan,0.59,nan
0.69,nan,1.00,nan,0.61,nan,0.67,nan
0.67,nan,1.00,nan,0.62,nan,0.67,nan
0.47,nan,1.00,nan,0.52,nan,0.42,nan
0.32,nan,1.00,nan,0.47,nan,0.35,nan
0.34,0.42,1.00,0.59,0.49,0.36,0.32,0.35
0.33,0.41,1.00,0.59,0.51,0.35,0.27,0.28
0.34,0.52,1.00,0.50,0.43,0.33,0.26,0.27
0.56,0.38,1.00,0.39,0.43,0.33,0.24,0.29
0.59,0.46,1.00,0.46,0.61,0.45,0.57,0.31
0.71,0.53,1.00,0.52,0.76,0.40,0.76,0.61
0.53,0.48,1.00,0.43,0.54,0.26,0.66,0.41
0.49,0.53,1.00,0.55,0.43,0.37,0.64,0.44
0.60,0.54,1.00,0.58,0.56,0.41,0.45,0.40
0.51,0.52,1.00,0.48,0.50,0.45,0.51,0.43
0.62,nan,1.00,nan,0.56,nan,0.65,nan
0.69,nan,1.00,nan,0.62,nan,0.69,nan
0.48,nan,1.00,nan,0.58,nan,0.57,nan
0.42,0.60,1.00,0.68,0.48,0.40,0.47,0.49
0.36,0.51,1.00,0.69,0.42,0.32,0.43,0.40
0.39,0.46,1.00,0.65,0.44,0.39,0.37,0.39
0.49,0.56,1.00,0.52,0.41,0.26,0.30,0.30
0.63,0.72,1.00,0.59,0.44,0.34,0.38,0.47
0.63,0.63,1.00,0.42,0.39,0.37,0.37,0.62
0.54,0.48,1.00,0.50,0.67,0.49,0.72,0.27
0.65,0.66,1.00,0.63,0.63,0.54,0.71,0.61
0.59,0.59,1.00,0.54,0.51,0.52,0.70,0.60
0.51,0.35,1.00,0.49,0.50,0.46,0.45,0.33
0.32,0.51,1.00,0.49,0.30,0.22,0.20,0.27
0.54,0.56,1.00,0.37,0.55,0.35,0.54,0.43
0.50,nan,1.00,nan,0.61,nan,0.65,nan
0.42,0.59,1.00,0.56,0.51,0.55,0.60,0.50
0.42,0.40,1.00,0.51,0.43,0.44,0.51,0.42
0.44,0.51,1.00,0.67,0.42,0.51,0.49,0.47
0.48,0.57,1.00,0.61,0.43,0.39,0.43,0.46
0.54,0.53,1.00,0.50,0.45,0.43,0.38,0.41
0.50,0.66,1.00,0.57,0.49,0.58,0.44,0.54
0.55,0.78,1.00,0.64,0.45,0.60,0.58,0.67
0.38,0.73,1.00,0.57,0.59,0.60,0.72,0.50
0.56,0.59,1.00,0.78,0.65,0.69,0.71,0.54
0.50,0.66,1.00,0.67,0.62,0.61,0.60,0.54
0.24,0.47,1.00,0.32,0.32,0.18,0.24,0.26
0.44,0.60,1.00,0.67,0.56,0.47,0.29,0.46
0.39,0.51,1.00,0.38,0.48,0.27,0.34,0.40
0.27,0.37,1.00,0.31,0.41,0.29,0.46,0.29
0.46,0.46,1.00,0.46,0.35,0.38,0.53,0.45
0.37,0.54,1.00,0.44,0.33,0.37,0.50,0.44
0.37,0.60,1.00,0.50,0.36,0.43,0.45,0.46
0.36,0.55,1.00,0.56,0.36,0.40,0.38,0.41
0.27,0.58,1.00,0.53,0.30,0.29,0.27,0.36
0.23,0.48,1.00,0.39,0.33,0.21,0.21,0.20
0.22,0.66,1.00,0.58,0.48,0.54,0.36,0.44
0.20,0.63,1.00,0.68,0.59,0.64,0.55,0.37
0.23,0.51,1.00,0.37,0.38,0.34,0.34,0.33
0.30,0.67,1.00,0.53,0.42,0.26,0.29,0.24
0.40,0.59,1.00,0.54,0.49,0.27,0.29,0.38
0.40,0.60,1.00,0.61,0.58,0.40,0.43,0.56
0.31,0.40,1.00,0.53,0.59,0.24,0.38,0.36
0.39,0.51,1.00,0.49,0.71,0.35,0.53,0.43
0.58,0.51,1.00,0.52,0.55,0.57,0.61,0.52
0.46,0.56,1.00,0.50,0.54,0.41,0.53,0.44
0.53,0.64,1.00,0.45,0.51,0.49,0.58,0.59
0.49,0.62,1.00,0.67,0.46,0.65,0.56,0.64
0.52,0.70,1.00,0.69,0.50,0.36,0.47,0.42
0.29,0.58,1.00,0.44,0.32,0.24,0.33,0.34
0.31,0.55,1.00,0.41,0.55,0.36,0.54,0.31
0.25,0.44,1.00,0.48,0.47,0.47,0.51,0.37
0.25,0.74,1.00,0.65,0.54,0.35,0.38,0.28
