0.77,0.78,1.00,nan,nan,nan,nan,nan
0.84,0.87,1.00,0.91,nan,nan,nan,nan
0.86,0.93,1.00,0.95,nan,nan,nan,nan
0.78,0.93,1.00,0.95,nan,nan,nan,nan
0.64,0.87,1.00,0.92,nan,nan,nan,nan
0.58,0.86,1.00,0.84,nan,nan,nan,nan
0.70,0.93,1.00,0.90,nan,nan,nan,nan
0.61,0.95,1.00,0.95,nan,nan,nan,nan
0.69,0.99,1.00,0.97,nan,nan,nan,nan
0.65,0.96,1.00,0.98,nan,nan,nan,nan
0.67,0.97,1.00,0.97,nan,nan,nan,nan
0.77,0.97,1.00,0.96,nan,nan,nan,nan
0.75,0.98,1.00,0.98,nan,nan,nan,nan
0.89,0.99,1.00,nan,nan,nan,nan,nan
0.74,0.81,1.00,nan,nan,nan,nan,nan
0.80,0.88,1.00,0.94,0.71,nan,nan,nan
0.89,0.95,1.00,0.97,0.79,0.79,nan,nan
0.91,0.96,1.00,0.97,0.85,0.83,nan,nan
0.86,0.95,1.00,0.96,0.81,0.77,nan,nan
0.81,0.91,1.00,0.95,0.69,0.35,nan,nan
0.87,0.92,1.00,0.85,0.50,0.49,nan,nan
0.82,0.95,1.00,0.89,0.72,0.63,nan,nan
0.88,0.98,1.00,0.95,0.79,0.69,nan,nan
0.88,0.93,1.00,0.94,0.81,0.69,nan,nan
0.86,0.92,1.00,0.92,0.73,nan,nan,nan
0.88,0.95,1.00,0.92,0.75,nan,nan,nan
0.90,0.96,1.00,0.96,nan,nan,nan,nan
0.96,0.99,1.00,nan,nan,nan,nan,nan
0.82,0.87,1.00,nan,nan,nan,nan,nan
0.84,0.91,1.00,0.94,0.78,nan,nan,nan
0.92,0.96,1.00,0.97,0.81,0.81,0.50,nan
0.95,0.98,1.00,0.97,0.93,0.85,0.64,0.19
0.95,0.98,1.00,0.98,0.93,0.85,0.62,0.27
0.93,0.97,1.00,0.98,0.94,0.85,0.34,0.19
0.90,0.95,1.00,0.93,0.77,0.74,0.14,0.13
0.72,0.94,1.00,0.92,0.84,0.61,0.35,0.20
0.86,0.96,1.00,0.91,0.88,0.74,0.47,nan
0.91,0.93,1.00,0.90,0.87,0.71,nan,nan
0.83,0.90,1.00,0.91,0.81,nan,nan,nan
0.82,0.93,1.00,0.87,0.82,nan,nan,nan
0.85,0.92,1.00,0.91,nan,nan,nan,nan
0.90,0.97,1.00,nan,nan,nan,nan,nan
0.88,0.92,1.00,nan,nan,nan,nan,nan
0.85,0.93,1.00,0.94,0.80,nan,nan,nan
0.94,0.96,1.00,0.96,0.77,0.78,0.44,nan
0.96,0.98,1.00,0.98,0.94,0.84,0.62,0.18
0.96,0.98,1.00,0.98,0.94,0.84,0.61,0.18
0.95,0.97,1.00,0.98,0.93,0.85,0.52,0.23
0.92,0.96,1.00,0.95,0.87,0.73,0.23,0.10
0.75,0.92,1.00,0.87,0.74,0.43,0.27,0.07
0.82,0.96,1.00,0.94,0.91,0.75,0.36,nan
0.91,0.96,1.00,0.92,0.83,0.74,nan,nan
0.83,0.94,1.00,0.90,0.81,nan,nan,nan
0.79,0.91,1.00,0.89,0.70,nan,nan,nan
0.75,0.90,1.00,0.83,nan,nan,nan,nan
0.85,0.96,1.00,nan,nan,nan,nan,nan
0.83,0.90,1.00,nan,nan,nan,nan,nan
0.80,0.92,1.00,0.91,0.79,nan,nan,nan
0.91,0.95,1.00,0.96,0.74,0.69,0.34,nan
0.95,0.97,1.00,0.98,0.92,0.81,0.42,0.20
0.94,0.97,1.00,0.98,0.93,0.85,0.49,0.22
0.95,0.97,1.00,0.98,0.93,0.92,0.57,0.21
0.90,0.97,1.00,0.97,0.91,0.90,0.66,0.32
0.83,0.88,1.00,0.82,0.80,0.68,0.39,0.25
0.68,0.92,1.00,0.90,0.89,0.77,0.58,nan
0.58,0.90,1.00,0.90,0.78,0.73,nan,nan
0.52,0.76,1.00,0.78,0.58,nan,nan,nan
0.71,0.78,1.00,0.75,0.43,nan,nan,nan
0.44,0.72,1.00,0.84,nan,nan,nan,nan
0.47,0.87,1.00,nan,nan,nan,nan,nan
0.80,0.88,1.00,nan,nan,nan,nan,nan
0.78,0.91,1.00,0.88,0.69,nan,nan,nan
0.84,0.92,1.00,0.92,0.77,0.61,0.25,nan
