0.84,nan,0.84,nan,1.00,nan,0.81,nan
0.79,nan,0.78,nan,1.00,nan,0.72,nan
0.76,nan,0.70,nan,1.00,nan,0.62,nan
0.78,nan,0.75,nan,1.00,nan,0.64,nan
0.81,0.72,0.78,0.76,1.00,0.68,0.62,0.57
0.81,0.53,0.80,0.58,1.00,0.46,0.63,0.40
0.84,0.46,0.79,0.46,1.00,0.49,0.67,0.40
0.84,0.45,0.75,0.47,1.00,0.48,0.67,0.39
0.83,0.43,0.71,0.44,1.00,0.41,0.64,0.43
0.80,0.42,0.66,0.55,1.00,0.38,0.58,0.45
0.78,nan,0.64,nan,1.00,nan,0.56,nan
0.78,nan,0.69,nan,1.00,nan,0.59,nan
0.78,nan,0.77,nan,1.00,nan,0.68,nan
0.81,nan,0.87,nan,1.00,nan,0.77,nan
0.72,nan,0.73,nan,1.00,nan,0.71,nan
0.36,nan,0.43,nan,1.00,nan,0.36,nan
0.28,nan,0.44,nan,1.00,nan,0.23,nan
0.30,0.25,0.40,0.55,1.00,0.32,0.23,0.18
0.38,0.37,0.47,0.62,1.00,0.36,0.30,0.28
0.67,0.58,0.65,0.61,1.00,0.51,0.53,0.49
0.59,0.46,0.55,0.54,1.00,0.54,0.44,0.37
0.51,0.42,0.48,0.41,1.00,0.51,0.38,0.32
0.56,0.33,0.44,0.33,1.00,0.45,0.44,0.49
0.61,0.34,0.42,0.41,1.00,0.33,0.47,0.35
0.58,0.35,0.46,0.54,1.00,0.33,0.49,0.36
0.60,nan,0.59,nan,1.00,nan,0.50,nan
0.63,nan,0.66,nan,1.00,nan,0.62,nan
0.68,nan,0.81,nan,1.00,nan,0.73,nan
0.23,nan,0.32,nan,1.00,nan,0.70,nan
0.43,nan,0.60,nan,1.00,nan,0.74,nan
0.25,0.33,0.58,0.66,1.00,0.73,0.52,0.43
0.24,0.34,0.52,0.78,1.00,0.65,0.49,0.39
0.24,0.43,0.64,0.78,1.00,0.52,0.42,0.40
0.53,0.57,0.55,0.63,1.00,0.52,0.41,0.46
0.37,0.44,0.47,0.39,1.00,0.63,0.53,0.46
0.48,0.39,0.54,0.57,1.00,0.68,0.58,0.54
0.46,0.41,0.55,0.46,1.00,0.56,0.52,0.37
0.44,0.33,0.50,0.40,1.00,0.54,0.45,0.48
0.38,0.40,0.48,0.50,1.00,0.52,0.54,0.41
0.43,0.42,0.65,0.51,1.00,0.49,0.61,0.47
0.41,nan,0.68,nan,1.00,nan,0.54,nan
0.50,nan,0.58,nan,1.00,nan,0.64,nan
0.43,nan,0.36,nan,1.00,nan,0.59,nan
0.59,0.47,0.58,0.70,1.00,0.76,0.76,0.59
0.48,0.44,0.57,0.76,1.00,0.74,0.69,0.50
0.44,0.50,0.62,0.73,1.00,0.70,0.62,0.51
0.43,0.50,0.69,0.80,1.00,0.64,0.61,0.51
0.39,0.54,0.51,0.62,1.00,0.53,0.51,0.47
0.52,0.48,0.50,0.60,1.00,0.41,0.37,0.28
0.39,0.23,0.46,0.34,1.00,0.68,0.62,0.31
0.50,0.49,0.63,0.65,1.00,0.75,0.70,0.49
0.46,0.52,0.54,0.50,1.00,0.59,0.62,0.39
0.32,0.39,0.43,0.42,1.00,0.57,0.48,0.42
0.42,0.45,0.55,0.55,1.00,0.53,0.52,0.42
0.53,0.38,0.66,0.40,1.00,0.44,0.63,0.43
0.66,nan,0.67,nan,1.00,nan,0.69,nan
0.48,0.41,0.49,0.60,1.00,0.38,0.46,0.35
0.48,0.23,0.42,0.45,1.00,0.71,0.56,0.40
0.51,0.53,0.56,0.72,1.00,0.76,0.69,0.54
0.57,0.56,0.63,0.81,1.00,0.70,0.75,0.53
0.55,0.54,0.64,0.67,1.00,0.69,0.70,0.61
0.48,0.51,0.45,0.54,1.00,0.71,0.54,0.49
0.62,0.60,0.58,0.68,1.00,0.72,0.61,0.56
0.49,0.47,0.37,0.61,1.00,0.63,0.48,0.39
0.55,0.52,0.55,0.56,1.00,0.82,0.71,0.59
0.57,0.54,0.59,0.65,1.00,0.76,0.76,0.61
0.44,0.50,0.48,0.62,1.00,0.69,0.60,0.48
0.44,0.50,0.51,0.61,1.00,0.61,0.50,0.55
0.47,0.41,0.56,0.28,1.00,0.25,0.47,0.33
0.56,0.37,0.55,0.17,1.00,0.17,0.53,0.26
0.70,0.57,0.65,0.68,1.00,0.63,0.66,0.59
0.44,0.48,0.35,0.70,1.00,0.67,0.39,0.38
0.52,0.31,0.52,0.59,1.00,0.71,0.52,0.35
0.55,0.56,0.62,0.71,1.00,0.76,0.66,0.57
0.60,0.60,0.69,0.70,1.00,0.61,0.67,0.58
0.47,0.30,0.44,0.35,1.00,0.62,0.69,0.37
0.75,0.75,0.72,0.80,1.00,0.91,0.70,0.72
0.60,0.65,0.54,0.72,1.00,0.77,0.56,0.62
0.57,0.59,0.57,0.61,1.00,0.61,0.55,0.51
0.54,0.40,0.49,0.58,1.00,0.77,0.74,0.56
0.47,0.43,0.51,0.61,1.00,0.72,0.73,0.61
0.50,0.48,0.60,0.51,1.00,0.53,0.65,0.53
0.60,0.55,0.66,0.49,1.00,0.50,0.55,0.56
0.68,0.41,0.63,0.22,1.00,0.24,0.53,0.27
0.78,0.57,0.76,0.58,1.00,0.67,0.72,0.61
0.38,0.28,0.35,0.47,1.00,0.55,0.37,0.28
0.44,0.41,0.47,0.70,1.00,0.71,0.54,0.46
0.39,0.47,0.61,0.65,1.00,0.70,0.57,0.42
0.45,0.48,0.63,0.69,1.00,0.67,0.54,0.42
0.45,0.38,0.48,0.54,1.00,0.72,0.77,0.48
0.83,0.68,0.77,0.85,1.00,0.90,0.86,0.72
0.77,0.76,0.73,0.74,1.00,0.84,0.63,0.76
0.57,0.54,0.48,0.64,1.00,0.70,0.58,0.52
0.33,0.28,0.42,0.59,1.00,0.53,0.45,0.29
0.37,0.28,0.54,0.58,1.00,0.60,0.55,0.43
0.50,0.43,0.64,0.62,1.00,0.61,0.62,0.56
0.58,0.47,0.67,0.36,1.00,0.38,0.63,0.48
0.61,0.42,0.66,0.27,1.00,0.32,0.60,0.26
0.80,0.61,0.77,0.62,1.00,0.65,0.73,0.61
0.39,0.36,0.40,0.46,1.00,0.53,0.35,0.25
0.51,0.69,0.63,0.78,1.00,0.71,0.50,0.43
0.51,0.59,0.71,0.74,1.00,0.59,0.58,0.40
0.51,0.49,0.60,0.78,1.00,0.66,0.64,0.51
0.45,0.24,0.28,0.65,1.00,0.70,0.73,0.48
0.77,0.83,0.79,0.85,1.00,0.81,0.84,0.87
0.57,0.62,0.63,0.70,1.00,0.70,0.74,0.65
0.22,0.25,0.33,0.40,1.00,0.68,0.54,0.32
0.30,0.36,0.36,0.54,1.00,0.65,0.50,0.34
0.40,0.31,0.52,0.59,1.00,0.59,0.49,0.44
0.45,0.40,0.64,0.62,1.00,0.62,0.62,0.47
0.47,0.37,0.58,0.41,1.00,0.48,0.66,0.42
0.49,0.32,0.63,0.22,1.00,0.23,0.63,0.20
0.74,0.63,0.78,0.58,1.00,0.63,0.78,0.59
0.51,0.52,0.69,0.70,1.00,0.44,0.36,0.14
0.38,0.45,0.68,0.61,1.00,0.59,0.47,0.24
0.35,0.55,0.73,0.85,1.00,0.70,0.62,0.38
0.37,0.31,0.53,0.72,1.00,0.70,0.75,0.61
0.37,0.34,0.42,0.73,1.00,0.55,0.72,0.55
0.68,0.50,0.67,0.74,1.00,0.59,0.59,0.61
0.25,0.26,0.35,0.61,1.00,0.61,0.55,0.42
0.23,0.39,0.43,0.65,1.00,0.73,0.61,0.51
0.20,0.29,0.48,0.60,1.00,0.69,0.58,0.27
0.36,0.47,0.70,0.70,1.00,0.75,0.66,0.44
0.46,0.51,0.75,0.55,1.00,0.59,0.65,0.47
0.50,0.45,0.59,0.46,1.00,0.52,0.61,0.33
0.54,0.29,0.63,0.31,1.00,0.35,0.62,0.19
0.69,0.67,0.79,0.64,1.00,0.79,0.79,0.73
0.61,0.65,0.78,0.69,1.00,0.65,0.63,0.52
0.32,0.38,0.71,0.79,1.00,0.53,0.35,0.16
0.12,0.37,0.60,0.65,1.00,0.67,0.42,0.26
0.16,0.40,0.55,0.70,1.00,0.64,0.52,0.37
0.45,0.31,0.73,0.78,1.00,0.70,0.71,0.39
0.57,0.50,0.53,0.49,1.00,0.57,0.45,0.64
0.36,0.45,0.53,0.59,1.00,0.67,0.56,0.56
0.38,0.45,0.50,0.66,1.00,0.70,0.63,0.54
0.42,0.57,0.63,0.73,1.00,0.80,0.73,0.60
0.48,0.69,0.80,0.73,1.00,0.75,0.72,0.61
0.55,0.66,0.82,0.68,1.00,0.67,0.62,0.42
0.61,0.63,0.64,0.63,1.00,0.53,0.60,0.41
0.62,0.69,0.69,0.70,1.00,0.45,0.52,0.46
0.70,nan,0.84,nan,1.00,nan,0.81,nan
0.64,0.72,0.78,0.83,1.00,0.81,0.80,0.77
0.63,0.70,0.73,0.83,1.00,0.74,0.73,0.64
0.54,0.60,0.72,0.78,1.00,0.60,0.66,0.50
