nan,0.96,nan,0.81,nan,0.84,nan,1.00
nan,0.93,nan,0.83,nan,0.86,nan,1.00
nan,0.87,nan,0.83,nan,0.84,nan,1.00
nan,0.71,nan,0.61,nan,0.65,nan,1.00
0.50,0.59,0.38,0.41,0.38,0.33,0.34,1.00
0.55,0.67,0.46,0.47,0.40,0.52,0.54,1.00
0.64,0.77,0.52,0.66,0.60,0.70,0.70,1.00
0.56,0.78,0.48,0.72,0.52,0.71,0.58,1.00
0.41,0.65,0.46,0.67,0.43,0.57,0.59,1.00
0.42,0.71,0.58,0.62,0.68,0.66,0.57,1.00
nan,0.73,nan,0.66,nan,0.69,nan,1.00
nan,0.88,nan,0.83,nan,0.84,nan,1.00
nan,0.90,nan,0.89,nan,0.93,nan,1.00
nan,0.88,nan,0.89,nan,0.96,nan,1.00
nan,0.94,nan,0.82,nan,0.83,nan,1.00
nan,0.91,nan,0.81,nan,0.82,nan,1.00
nan,0.77,nan,0.69,nan,0.68,nan,1.00
0.49,0.73,0.27,0.52,0.31,0.45,0.33,1.00
0.43,0.71,0.26,0.40,0.39,0.50,0.38,1.00
0.49,0.64,0.27,0.44,0.40,0.53,0.42,1.00
0.47,0.56,0.35,0.44,0.44,0.68,0.53,1.00
0.60,0.71,0.51,0.55,0.55,0.66,0.69,1.00
0.43,0.62,0.48,0.64,0.47,0.56,0.48,1.00
0.53,0.67,0.55,0.68,0.55,0.68,0.51,1.00
0.49,0.74,0.46,0.62,0.65,0.77,0.50,1.00
nan,0.78,nan,0.75,nan,0.79,nan,1.00
nan,0.87,nan,0.86,nan,0.93,nan,1.00
nan,0.90,nan,0.90,nan,0.94,nan,1.00
nan,0.89,nan,0.81,nan,0.82,nan,1.00
nan,0.88,nan,0.76,nan,0.73,nan,1.00
0.51,0.85,0.46,0.60,0.31,0.56,0.49,1.00
0.55,0.79,0.42,0.46,0.44,0.56,0.52,1.00
0.50,0.73,0.31,0.46,0.44,0.63,0.49,1.00
0.52,0.69,0.28,0.50,0.45,0.66,0.48,1.00
0.66,0.57,0.32,0.52,0.49,0.65,0.54,1.00
0.66,0.54,0.38,0.51,0.50,0.56,0.61,1.00
0.60,0.54,0.41,0.52,0.49,0.57,0.58,1.00
0.54,0.53,0.47,0.52,0.49,0.63,0.51,1.00
0.58,0.74,0.51,0.65,0.66,0.79,0.61,1.00
0.56,0.75,0.40,0.74,0.58,0.82,0.51,1.00
nan,0.81,nan,0.79,nan,0.80,nan,1.00
nan,0.90,nan,0.87,nan,0.88,nan,1.00
nan,0.81,nan,0.74,nan,0.73,nan,1.00
0.49,0.80,0.42,0.55,0.27,0.58,0.48,1.00
0.59,0.83,0.54,0.55,0.42,0.55,0.54,1.00
0.58,0.82,0.60,0.52,0.47,0.56,0.62,1.00
0.68,0.77,0.58,0.56,0.55,0.64,0.70,1.00
0.67,0.69,0.42,0.59,0.55,0.74,0.64,1.00
0.65,0.59,0.30,0.58,0.52,0.71,0.59,1.00
0.73,0.54,0.27,0.54,0.50,0.72,0.60,1.00
0.71,0.57,0.42,0.50,0.51,0.74,0.73,1.00
0.56,0.56,0.49,0.45,0.55,0.58,0.57,1.00
0.61,0.64,0.50,0.65,0.46,0.71,0.52,1.00
0.55,0.68,0.51,0.71,0.60,0.80,0.64,1.00
0.49,0.71,0.53,0.73,0.57,0.78,0.56,1.00
nan,0.81,nan,0.82,nan,0.84,nan,1.00
0.63,0.66,0.48,0.45,0.38,0.61,0.57,1.00
0.70,0.73,0.60,0.52,0.49,0.63,0.58,1.00
0.67,0.79,0.69,0.58,0.48,0.59,0.68,1.00
0.75,0.85,0.76,0.59,0.56,0.58,0.81,1.00
0.72,0.88,0.75,0.65,0.57,0.67,0.82,1.00
0.73,0.82,0.62,0.71,0.60,0.75,0.75,1.00
0.74,0.65,0.40,0.69,0.59,0.77,0.65,1.00
