0.49,0.44,0.47,0.55,0.77,1.00,nan,nan
0.37,0.48,0.43,0.50,0.72,1.00,nan,nan
0.35,0.37,0.44,0.50,0.73,1.00,nan,nan
0.16,0.27,0.61,0.52,0.73,1.00,nan,nan
0.54,0.65,0.58,0.70,0.87,1.00,nan,nan
0.40,0.51,0.49,0.59,0.80,1.00,nan,nan
0.46,0.43,0.43,0.57,0.75,1.00,nan,nan
0.46,0.44,0.37,0.60,0.74,1.00,nan,nan
0.42,0.46,0.40,0.66,0.74,1.00,nan,nan
0.48,0.40,0.31,0.66,0.76,1.00,nan,nan
0.51,0.42,0.30,0.65,0.76,1.00,nan,nan
0.54,0.45,0.33,0.67,0.83,1.00,nan,nan
0.54,0.46,0.55,0.68,0.79,1.00,nan,nan
0.61,0.58,0.51,0.76,0.84,1.00,nan,nan
0.55,0.54,0.61,0.62,0.78,1.00,nan,nan
0.48,0.57,0.60,0.64,0.81,1.00,nan,nan
0.41,0.39,0.53,0.61,0.77,1.00,nan,nan
0.25,0.35,0.60,0.65,0.72,1.00,nan,nan
0.44,0.76,0.66,0.82,0.88,1.00,nan,nan
0.34,0.70,0.71,0.78,0.87,1.00,nan,nan
0.31,0.67,0.72,0.75,0.85,1.00,nan,nan
0.29,0.68,0.58,0.54,0.85,1.00,nan,nan
0.06,0.69,0.59,0.56,0.80,1.00,nan,nan
0.06,0.56,0.43,0.31,0.79,1.00,nan,nan
0.07,0.59,0.45,0.25,0.76,1.00,nan,nan
0.07,0.62,0.46,0.25,0.89,1.00,nan,nan
0.08,0.58,0.70,0.52,0.83,1.00,nan,nan
0.34,0.77,0.64,0.86,0.93,1.00,nan,nan
0.62,0.60,0.62,0.69,0.80,1.00,nan,nan
0.53,0.65,0.64,0.70,0.85,1.00,nan,nan
0.48,0.49,0.67,0.69,0.87,1.00,nan,nan
0.27,0.50,0.66,0.71,0.83,1.00,0.40,nan
0.50,0.68,0.81,0.92,0.97,1.00,0.50,nan
0.41,0.61,0.53,0.86,0.93,1.00,0.62,nan
0.36,0.23,0.55,0.85,0.84,1.00,0.65,nan
0.34,0.21,0.09,0.66,0.83,1.00,0.72,nan
0.14,0.23,0.10,0.70,0.49,1.00,0.66,nan
0.27,0.22,0.20,0.68,0.55,1.00,0.52,nan
0.37,0.35,0.46,0.76,0.70,1.00,0.49,nan
0.43,0.39,0.40,0.73,0.82,1.00,0.35,nan
0.19,0.14,0.25,0.73,0.47,1.00,0.65,nan
0.37,0.26,0.13,0.87,0.82,1.00,nan,nan
0.58,0.54,0.61,0.69,0.77,1.00,nan,nan
0.46,0.56,0.62,0.71,0.79,1.00,nan,nan
0.48,0.42,0.62,0.75,0.88,1.00,nan,nan
0.46,0.47,0.75,0.86,0.92,1.00,0.54,nan
0.50,0.65,0.79,0.90,0.97,1.00,0.62,nan
0.42,0.62,0.55,0.88,0.89,1.00,0.76,0.45
0.13,0.24,0.60,0.62,0.36,1.00,0.73,0.44
0.20,0.35,0.31,0.33,0.47,1.00,0.62,0.43
0.22,0.34,0.36,0.45,0.41,1.00,0.54,0.27
0.30,0.49,0.50,0.64,0.61,1.00,0.61,0.37
0.32,0.49,0.67,0.75,0.76,1.00,0.62,0.30
0.43,0.59,0.68,0.74,0.84,1.00,0.55,0.18
0.35,0.52,0.60,0.68,0.71,1.00,0.49,nan
0.15,0.36,0.28,0.52,0.45,1.00,nan,nan
0.48,0.48,0.59,0.69,0.78,1.00,nan,nan
0.38,0.50,0.46,0.62,0.75,1.00,nan,nan
0.45,0.51,0.64,0.77,0.77,1.00,nan,nan
0.40,0.67,0.84,0.91,0.83,1.00,0.61,nan
0.47,0.57,0.85,0.88,0.94,1.00,0.65,nan
0.45,0.55,0.39,0.89,0.90,1.00,0.84,0.60
0.42,0.41,0.53,0.63,0.71,1.00,0.52,0.33
0.54,0.55,0.54,0.58,0.68,1.00,0.57,0.43
0.45,0.50,0.52,0.58,0.71,1.00,0.54,0.46
0.35,0.35,0.40,0.49,0.65,1.00,0.56,0.47
0.33,0.34,0.45,0.51,0.70,1.00,0.53,0.27
0.41,0.41,0.45,0.51,0.76,1.00,0.65,0.29
0.44,0.43,0.55,0.62,0.80,1.00,0.59,nan
0.39,0.42,0.52,0.58,0.82,1.00,nan,nan
0.34,0.36,0.49,0.62,0.75,1.00,nan,nan
0.34,0.39,0.50,0.69,0.73,1.00,nan,nan
0.42,0.63,0.64,0.68,0.80,1.00,nan,nan
0.35,0.63,0.82,0.86,0.89,1.00,0.65,nan
0.48,0.57,0.82,0.85,0.91,1.00,0.57,nan
0.52,0.62,0.43,0.91,0.86,1.00,0.77,0.36
0.49,0.48,0.50,0.69,0.76,1.00,0.66,0.37
0.49,0.54,0.51,0.60,0.71,1.00,0.69,0.34
0.48,0.53,0.53,0.60,0.70,1.00,0.51,0.40
0.39,0.39,0.40,0.50,0.65,1.00,0.43,0.29
0.32,0.33,0.41,0.47,0.66,1.00,0.50,0.24
0.39,0.40,0.43,0.50,0.76,1.00,0.58,0.34
0.43,0.44,0.55,0.64,0.80,1.00,0.59,nan
0.42,0.48,0.61,0.65,0.85,1.00,nan,nan
0.45,0.57,0.61,0.63,0.81,1.00,nan,nan
0.62,0.66,0.72,0.81,0.83,1.00,nan,nan
0.72,0.79,0.79,0.84,0.91,1.00,nan,nan
0.65,0.74,0.74,0.79,0.89,1.00,0.64,nan
0.56,0.56,0.82,0.77,0.88,1.00,0.52,nan
0.69,0.71,0.54,0.85,0.87,1.00,0.75,0.45
0.38,0.37,0.53,0.61,0.72,1.00,0.74,0.45
0.41,0.46,0.41,0.49,0.64,1.00,0.74,0.44
0.38,0.43,0.41,0.50,0.64,1.00,0.50,0.37
0.34,0.40,0.38,0.47,0.60,1.00,0.46,0.27
0.29,0.34,0.42,0.50,0.63,1.00,0.54,0.30
0.31,0.37,0.42,0.50,0.77,1.00,0.57,0.30
0.34,0.38,0.50,0.57,0.80,1.00,0.56,nan
0.33,0.39,0.53,0.56,0.83,1.00,nan,nan
0.32,0.40,0.50,0.55,0.78,1.00,nan,nan
0.54,0.57,0.64,0.65,0.75,1.00,nan,nan
0.65,0.73,0.74,0.69,0.86,1.00,nan,nan
0.53,0.62,0.66,0.74,0.88,1.00,0.54,nan
0.45,0.44,0.68,0.69,0.80,1.00,0.50,nan
0.63,0.64,0.47,0.87,0.91,1.00,0.68,0.34
0.22,0.19,0.52,0.76,0.88,1.00,0.83,0.53
0.26,0.26,0.24,0.44,0.72,1.00,0.78,0.63
0.24,0.26,0.29,0.49,0.65,1.00,0.51,0.32
0.27,0.32,0.32,0.47,0.61,1.00,0.48,0.32
0.25,0.30,0.36,0.49,0.64,1.00,0.59,0.40
0.32,0.38,0.41,0.50,0.75,1.00,0.58,0.29
0.37,0.42,0.47,0.49,0.73,1.00,0.54,nan
0.36,0.41,0.50,0.42,0.68,1.00,nan,nan
0.60,0.54,0.71,0.69,0.82,1.00,nan,nan
0.33,0.52,0.41,0.55,0.69,1.00,nan,nan
0.57,0.61,0.64,0.65,0.68,1.00,nan,nan
0.60,0.64,0.68,0.73,0.87,1.00,0.43,nan
0.57,0.57,0.76,0.74,0.85,1.00,0.47,nan
0.71,0.74,0.70,0.89,0.91,1.00,0.47,0.35
0.27,0.23,0.77,0.73,0.78,1.00,0.67,0.24
0.34,0.32,0.36,0.37,0.74,1.00,0.71,0.52
0.32,0.33,0.38,0.43,0.57,1.00,0.60,0.33
0.34,0.36,0.40,0.43,0.61,1.00,0.56,0.35
0.35,0.37,0.36,0.47,0.65,1.00,0.58,0.40
0.34,0.37,0.37,0.49,0.69,1.00,0.65,0.41
0.34,0.36,0.36,0.48,0.62,1.00,0.59,nan
0.37,0.38,0.41,0.52,0.64,1.00,nan,nan
0.52,0.46,0.62,0.67,0.78,1.00,nan,nan
0.21,0.51,0.46,0.70,0.57,1.00,nan,nan
0.39,0.35,0.47,0.50,0.77,1.00,nan,nan
0.58,0.62,0.63,0.73,0.87,1.00,0.43,nan
0.58,0.60,0.71,0.78,0.87,1.00,0.50,nan
0.69,0.72,0.73,0.88,0.92,1.00,0.49,0.37
0.23,0.19,0.79,0.81,0.78,1.00,0.64,0.43
0.37,0.37,0.44,0.56,0.76,1.00,0.65,0.39
0.32,0.36,0.51,0.63,0.71,1.00,0.60,0.26
0.31,0.33,0.44,0.57,0.67,1.00,0.59,0.26
0.29,0.31,0.35,0.52,0.69,1.00,0.61,0.30
0.26,0.28,0.33,0.47,0.65,1.00,0.54,0.27
0.23,0.25,0.25,0.36,0.53,1.00,0.55,nan
0.24,0.22,0.25,0.45,0.65,1.00,nan,nan
0.39,0.40,0.51,0.59,0.68,1.00,nan,nan
0.28,0.47,0.37,0.61,0.63,1.00,nan,nan
0.38,0.29,0.41,0.50,0.68,1.00,nan,nan
0.45,0.53,0.58,0.68,0.82,1.00,0.40,nan
0.50,0.55,0.69,0.77,0.80,1.00,0.58,nan
0.59,0.65,0.71,0.85,0.85,1.00,0.39,nan
0.20,0.20,0.78,0.79,0.72,1.00,0.47,nan
0.44,0.45,0.50,0.57,0.76,1.00,0.42,nan
0.39,0.45,0.52,0.60,0.77,1.00,0.38,nan
0.35,0.38,0.44,0.55,0.74,1.00,0.49,nan
0.32,0.34,0.34,0.49,0.73,1.00,0.53,nan
0.27,0.29,0.29,0.42,0.65,1.00,0.47,nan
0.27,0.26,0.24,0.32,0.52,1.00,0.50,nan
0.18,0.19,0.21,0.35,0.51,1.00,nan,nan
0.33,0.33,0.39,0.48,0.55,1.00,nan,nan
0.25,0.37,0.40,0.56,0.58,1.00,nan,nan
0.36,0.30,0.41,0.49,0.63,1.00,nan,nan
0.43,0.54,0.58,0.65,0.78,1.00,0.54,nan
0.48,0.51,0.60,0.72,0.73,1.00,0.55,nan
0.53,0.58,0.58,0.76,0.72,1.00,0.38,nan
0.23,0.22,0.65,0.73,0.63,1.00,0.45,nan
0.39,0.39,0.46,0.56,0.80,1.00,0.34,nan
0.38,0.40,0.47,0.61,0.82,1.00,0.36,nan
0.34,0.36,0.42,0.56,0.79,1.00,0.46,nan
0.31,0.32,0.36,0.50,0.72,1.00,0.52,nan
0.28,0.28,0.37,0.49,0.68,1.00,0.45,nan
0.26,0.24,0.24,0.42,0.56,1.00,0.55,nan
0.15,0.15,0.20,0.33,0.46,1.00,nan,nan
0.25,0.23,0.29,0.30,0.38,1.00,nan,nan
0.21,0.32,0.33,0.46,0.57,1.00,nan,nan
0.34,0.28,0.40,0.48,0.66,1.00,nan,nan
0.43,0.47,0.61,0.68,0.77,1.00,nan,nan
0.51,0.46,0.62,0.73,0.71,1.00,nan,nan
