nan,1.00,nan,0.95,nan,0.90,nan,0.92
nan,1.00,nan,0.93,nan,0.88,nan,0.89
nan,1.00,nan,0.88,nan,0.78,nan,0.79
nan,1.00,nan,0.78,nan,0.61,nan,0.73
0.59,1.00,0.60,0.72,0.45,0.59,0.56,0.75
0.55,1.00,0.61,0.67,0.47,0.57,0.47,0.64
0.67,1.00,0.69,0.73,0.55,0.70,0.62,0.75
0.69,1.00,0.66,0.72,0.51,0.62,0.55,0.72
0.59,1.00,0.57,0.54,0.42,0.43,0.47,0.54
0.58,1.00,0.55,0.57,0.29,0.33,0.46,0.55
nan,1.00,nan,0.53,nan,0.45,nan,0.58
nan,1.00,nan,0.77,nan,0.66,nan,0.72
nan,1.00,nan,0.92,nan,0.85,nan,0.88
nan,1.00,nan,0.94,nan,0.93,nan,0.95
nan,1.00,nan,0.93,nan,0.85,nan,0.86
nan,1.00,nan,0.79,nan,0.66,nan,0.69
nan,1.00,nan,0.65,nan,0.45,nan,0.66
0.44,1.00,0.49,0.74,0.38,0.52,0.46,0.76
0.66,1.00,0.58,0.73,0.44,0.66,0.57,0.76
0.63,1.00,0.64,0.71,0.46,0.56,0.51,0.68
0.72,1.00,0.67,0.76,0.50,0.64,0.50,0.72
0.70,1.00,0.71,0.72,0.61,0.60,0.54,0.69
0.48,1.00,0.60,0.67,0.44,0.39,0.36,0.59
0.53,1.00,0.61,0.64,0.29,0.43,0.44,0.53
0.68,1.00,0.67,0.68,0.29,0.53,0.44,0.67
nan,1.00,nan,0.49,nan,0.49,nan,0.69
nan,1.00,nan,0.77,nan,0.61,nan,0.76
nan,1.00,nan,0.92,nan,0.80,nan,0.90
nan,1.00,nan,0.71,nan,0.59,nan,0.64
nan,1.00,nan,0.74,nan,0.50,nan,0.69
0.48,1.00,0.67,0.72,0.47,0.55,0.51,0.77
0.38,1.00,0.56,0.69,0.38,0.46,0.43,0.72
0.59,1.00,0.60,0.62,0.34,0.53,0.44,0.67
0.61,1.00,0.59,0.62,0.36,0.49,0.40,0.60
0.52,1.00,0.67,0.63,0.47,0.45,0.30,0.56
0.51,1.00,0.64,0.57,0.48,0.35,0.24,0.48
0.55,1.00,0.59,0.57,0.38,0.40,0.28,0.46
0.50,1.00,0.64,0.59,0.31,0.43,0.22,0.44
0.57,1.00,0.74,0.68,0.44,0.58,0.43,0.65
0.58,1.00,0.57,0.62,0.35,0.53,0.36,0.76
nan,1.00,nan,0.56,nan,0.51,nan,0.75
nan,1.00,nan,0.82,nan,0.66,nan,0.80
nan,1.00,nan,0.59,nan,0.49,nan,0.57
0.59,1.00,0.56,0.75,0.59,0.64,0.53,0.71
0.45,1.00,0.56,0.74,0.51,0.60,0.45,0.74
0.44,1.00,0.56,0.74,0.53,0.55,0.53,0.71
0.50,1.00,0.59,0.66,0.39,0.58,0.50,0.65
0.54,1.00,0.59,0.46,0.44,0.46,0.35,0.56
0.57,1.00,0.54,0.54,0.49,0.41,0.21,0.44
0.54,1.00,0.59,0.61,0.42,0.38,0.14,0.51
0.53,1.00,0.52,0.54,0.27,0.39,0.19,0.38
0.58,1.00,0.63,0.60,0.35,0.43,0.29,0.50
0.52,1.00,0.64,0.56,0.35,0.52,0.27,0.65
0.50,1.00,0.50,0.59,0.36,0.51,0.36,0.74
0.55,1.00,0.52,0.60,0.56,0.59,0.37,0.82
nan,1.00,nan,0.63,nan,0.65,nan,0.71
0.61,1.00,0.44,0.72,0.52,0.57,0.47,0.62
0.47,1.00,0.45,0.66,0.45,0.51,0.40,0.64
0.52,1.00,0.58,0.76,0.52,0.57,0.56,0.74
0.60,1.00,0.64,0.75,0.56,0.61,0.66,0.75
0.45,1.00,0.54,0.56,0.31,0.41,0.47,0.61
0.52,1.00,0.52,0.54,0.54,0.53,0.30,0.53
0.50,1.00,0.50,0.61,0.47,0.46,0.19,0.47
0.52,1.00,0.46,0.59,0.36,0.40,0.22,0.51
0.60,1.00,0.64,0.70,0.57,0.48,0.31,0.50
0.58,1.00,0.63,0.71,0.67,0.61,0.29,0.75
0.58,1.00,0.57,0.62,0.36,0.59,0.42,0.79
0.49,1.00,0.47,0.47,0.29,0.44,0.38,0.78
0.56,1.00,0.57,0.57,0.55,0.58,0.44,0.82
0.54,1.00,0.53,0.59,0.61,0.69,0.43,0.74
0.63,1.00,0.54,0.72,0.41,0.44,0.39,0.58
0.63,1.00,0.58,0.77,0.49,0.54,0.59,0.72
0.58,1.00,0.60,0.75,0.47,0.57,0.52,0.77
0.55,1.00,0.62,0.62,0.37,0.51,0.56,0.66
